Class,Type,Class,Type,,Class,Type,Generalization,superSubtype,to,Subtype Of,Add Supertype,TRUE,TRUE,TRUE,TRUE,,0
Class,Type,Class,Type,,Class,Type,Generalization,superSubtype,from,Supertype Of,Add Subtype,TRUE,TRUE,TRUE,TRUE,,0
Class,TupleType,Class,TupleType,,Class,TupleType,Generalization,superSubtype,to,Subtype Of,Add Supertype,TRUE,TRUE,TRUE,TRUE,,0
Class,TupleType,Class,TupleType,,Class,TupleType,Generalization,superSubtype,from,Supertype Of,Add Subtype,TRUE,TRUE,TRUE,TRUE,,0
Class,Type,Class,Type,,,,Dependency,typeInstance,to,Instance Of,,TRUE,TRUE,TRUE,TRUE,,
Class,,,,,Class,Type,Dependency,typeInstance,to,,Add Type,TRUE,TRUE,TRUE,TRUE,,
Class,Individual,Class,Type,,,,Dependency,typeInstance,to,Instance Of,,TRUE,TRUE,TRUE,TRUE,,
Class,TupleType,Class,Type,,,,Dependency,typeInstance,to,Instance Of,,TRUE,TRUE,TRUE,TRUE,,
n-ary Association,tuple,Class,TupleType,,Class,TupleType,Dependency,typeInstance,to,Instance Of,Add Type,TRUE,TRUE,TRUE,TRUE,,
Class,Type,Class,Individual,,,,Dependency,typeInstance,from,Type Of,,TRUE,TRUE,TRUE,TRUE,,
Class,Type,Class,Type,,,,Dependency,typeInstance,from,Type Of,,TRUE,TRUE,TRUE,TRUE,,
Class,Type,Class,TupleType,,,,Dependency,typeInstance,from,Type Of,,TRUE,TRUE,TRUE,TRUE,,
Class,TupleType,n-ary Association,,,n-ary Association,tuple,Dependency,typeInstance,from,Type Of,Add tuple Instance,TRUE,TRUE,TRUE,TRUE,,
Class,TupleType,,,,n-ary Association,couple,Dependency,typeInstance,from,Type Of,Add couple Instance,TRUE,TRUE,TRUE,TRUE,,
Class,Type,Class,Type,,Class,Type,Dependency,powertypeInstance,to,Instance of Powertype,Add Powertype,TRUE,TRUE,TRUE,TRUE,,0
Class,TupleType,Class,Type,,Class,Type,Dependency,powertypeInstance,to,Instance of Powertype,Add Powertype,TRUE,TRUE,TRUE,TRUE,,0
Class,Type,Class,Type,,,,Dependency,powertypeInstance,from,Powertype Of,,TRUE,TRUE,TRUE,TRUE,,
